Year,Month,Period,Cumulative_Registered_Billion_USD,Cumulative_Implemented_Billion_USD,Monthly_Registered_Billion_USD,Monthly_Implemented_Billion_USD
2024,1,01/2024,2.36,1.48,2.36,1.48
2024,2,02/2024,4.29,2.8,1.93,1.32
2024,3,03/2024,6.17,4.63,1.88,1.83
2024,4,04/2024,9.27,6.28,3.1,1.65
2024,5,05/2024,11.07,8.25,1.8,1.97
2024,6,06/2024,15.19,10.84,4.12,2.59
2024,7,07/2024,18.0,12.55,2.81,1.71
2024,8,08/2024,20.52,14.15,2.52,1.6
2024,9,09/2024,24.78,17.3,4.26,3.15
2024,10,10/2024,27.26,19.58,2.48,2.28
2024,11,11/2024,31.4,21.7,4.14,2.12
2024,12,12/2024,38.23,25.35,6.83,3.65
2025,1,01/2025,2.51,1.52,2.51,1.52
2025,2,02/2025,4.55,2.95,2.04,1.43
2025,3,03/2025,6.82,4.95,2.27,2.0
2025,4,04/2025,9.65,6.75,2.83,1.8
2025,5,05/2025,12.1,8.9,2.45,2.15
2025,6,06/2025,15.85,11.65,3.75,2.75
2025,7,07/2025,18.8,13.5,2.95,1.85
2025,8,08/2025,21.6,15.4,2.8,1.9
2025,9,09/2025,25.8,18.7,4.2,3.3
2025,10,10/2025,28.5,21.2,2.7,2.5
2025,11,11/2025,32.8,23.8,4.3,2.6
2025,12,12/2025,38.42,27.62,5.62,3.82
2026,1,01/2026,3.25,1.65,3.25,1.65
2026,2,02/2026,6.1,3.2,2.85,1.55
2026,3,03/2026,9.45,5.35,3.35,2.15
2026,4,04/2026,14.2,7.5,4.75,2.15
2026,5,05/2026,19.8,9.95,5.6,2.45
2026,6,06/2026,26.15,12.8,6.35,2.85
2026,7,07/2026,33.5,15.1,7.35,2.3
2026,8,08/2026,40.63,17.25,7.13,2.15
