Year,Rank,Country_Partner,Capital_Billion_USD,Share_Percent
2024,1,Singapore,10.21,26.7
2024,2,Hàn Quốc,7.06,18.5
2024,3,Trung Quốc,4.45,11.6
2024,4,Hồng Kông (TQ),4.41,11.5
2024,5,Nhật Bản,3.68,9.6
2024,6,Đài Loan,2.1,5.5
2024,7,Khác,6.32,16.6
2025,1,Singapore,9.85,25.6
2025,2,Hàn Quốc,6.8,17.7
2025,3,Trung Quốc,5.12,13.3
2025,4,Nhật Bản,4.1,10.7
2025,5,Hồng Kông (TQ),3.25,8.5
2025,6,Thụy Điển,1.45,3.8
2025,7,Đài Loan,1.35,3.5
2025,8,Khác,6.5,16.9
2026,1,Singapore,11.2,27.6
2026,2,Hàn Quốc,8.5,20.9
2026,3,Trung Quốc,5.85,14.4
2026,4,Hồng Kông (TQ),4.8,11.8
2026,5,Nhật Bản,3.95,9.7
2026,6,Đài Loan,1.85,4.6
2026,7,Khác,4.48,11.0
