Period_Year,Rank,Sector_Name,Capital_Billion_USD,Share_Percent
2024,1,"Công nghiệp chế biến, chế tạo",25.58,66.9
2024,2,Kinh doanh bất động sản,6.31,16.5
2024,3,"Sản xuất, phân phối điện",1.42,3.72
2024,4,Bán buôn và bán lẻ,1.41,3.69
2024,5,"Các ngành khác (Kho bãi, KHCN, Xây dựng...) ",3.51,9.19
2025,1,"Công nghiệp chế biến, chế tạo",21.01,54.7
2025,2,Kinh doanh bất động sản,7.11,18.51
2025,3,Bán buôn và bán lẻ; sửa chữa xe,3.0,7.81
2025,4,"Hoạt động chuyên môn, KH&CN",1.9,4.95
2025,5,"Các ngành khác (Điện, Xây dựng, Kho bãi...)",5.4,14.03
2026_8M,1,"Công nghiệp chế biến, chế tạo",24.5,60.3
2026_8M,2,Kinh doanh bất động sản,6.8,16.74
2026_8M,3,Bán buôn và bán lẻ,3.1,7.63
2026_8M,4,Sản xuất phân phối điện & công nghệ bán dẫn,2.8,6.89
2026_8M,5,Các ngành khác,3.43,8.44
